                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0261,                 1.7597,                 1.0384,                0.89369,                0.71603,                 0.9095,                0.76531,                0.65297,                 1.6382,                0.90927,               0.067292,             0.00033038,             0.00033038
                      1,                0.86644,                0.84587,                0.98552,                0.85687,                0.87587,                0.92642,                0.75931,                 0.6472,                0.78215,                0.91096,               0.034284,              0.0006555,              0.0006555
                      2,                0.84146,                0.73859,                0.97135,                0.92699,                0.92146,                0.97275,                0.80822,                0.65106,                0.60482,                0.90432,              0.0012674,             0.00097237,             0.00097237
                      3,                0.83278,                0.68176,                0.97089,                0.93246,                0.92086,                0.97688,                0.81481,                  0.627,                0.60894,                0.89323,             0.00096288,             0.00096288,             0.00096288
                      4,                0.81167,                0.64689,                0.95913,                0.92223,                0.92698,                0.97698,                0.81773,                0.62935,                0.55286,                  0.897,             0.00096288,             0.00096288,             0.00096288
                      5,                0.79995,                0.62297,                0.95552,                0.93851,                 0.9434,                0.98308,                0.82454,                0.60843,                0.53283,                0.89224,              0.0009505,              0.0009505,              0.0009505
                      6,                0.79274,                0.61047,                 0.9488,                0.93811,                0.93924,                0.98171,                0.83364,                0.59441,                0.53789,                0.88314,             0.00093813,             0.00093813,             0.00093813
                      7,                0.78411,                0.60088,                0.95069,                0.95462,                0.94371,                0.98505,                 0.8359,                0.58423,                0.49053,                0.88011,             0.00092575,             0.00092575,             0.00092575
                      8,                0.77511,                0.58784,                0.94686,                 0.9382,                0.95292,                 0.9865,                0.84162,                0.58091,                0.49215,                0.87876,             0.00091337,             0.00091337,             0.00091337
                      9,                0.76498,                0.57924,                0.94099,                0.94742,                0.94236,                0.98317,                 0.8249,                0.59685,                0.51602,                0.88491,               0.000901,               0.000901,               0.000901
                     10,                0.76869,                0.57808,                0.94326,                0.93874,                0.94427,                0.98208,                0.82649,                0.58817,                0.48588,                0.88475,             0.00088862,             0.00088862,             0.00088862
                     11,                0.76009,                 0.5699,                0.93893,                0.94217,                0.95093,                 0.9828,                0.84365,                0.57477,                0.48342,                 0.8777,             0.00087625,             0.00087625,             0.00087625
                     12,                0.75506,                0.56539,                0.93727,                 0.9452,                0.95211,                0.98421,                0.84529,                0.58394,                0.46418,                 0.8783,             0.00086388,             0.00086388,             0.00086388
